iter	Passed	Remaining
0	23	4590
1	41	4088
2	67	4430
3	98	4815
4	129	5049
5	160	5205
6	182	5030
7	209	5019
8	240	5101
9	261	4967
10	287	4936
11	308	4837
12	334	4809
13	366	4863
14	389	4803
15	412	4739
16	445	4792
17	467	4727
18	492	4692
19	516	4648
20	539	4599
21	561	4540
22	584	4495
23	604	4436
24	630	4414
25	651	4361
26	678	4350
27	700	4302
28	727	4288
29	757	4289
30	778	4242
31	808	4246
32	842	4262
33	872	4260
34	901	4248
35	922	4202
36	959	4227
37	982	4190
38	1011	4173
39	1040	4161
40	1074	4166
41	1106	4162
42	1128	4120
43	1151	4082
44	1174	4046
45	1200	4019
46	1231	4008
47	1262	3998
48	1285	3959
49	1307	3922
50	1330	3886
51	1355	3856
52	1387	3848
53	1410	3812
54	1434	3781
55	1458	3749
56	1514	3799
57	1543	3777
58	1569	3750
59	1598	3730
60	1625	3703
61	1652	3677
62	1677	3648
63	1730	3677
64	1753	3640
65	1778	3610
66	1809	3592
67	1841	3575
68	1873	3557
69	1896	3522
70	1937	3519
71	1959	3484
72	1985	3454
73	2008	3419
74	2033	3388
75	2065	3369
76	2090	3339
77	2117	3312
78	2141	3280
79	2165	3248
80	2194	3223
81	2223	3199
82	2259	3185
83	2285	3156
84	2315	3132
85	2349	3114
86	2389	3103
87	2415	3074
88	2442	3046
89	2465	3013
90	2489	2981
91	2509	2946
92	2530	2911
93	2567	2895
94	2588	2861
95	2615	2833
96	2638	2801
97	2659	2768
98	2681	2735
99	2710	2710
100	2741	2687
101	2763	2654
102	2790	2628
103	2822	2604
104	2843	2572
105	2869	2544
106	2902	2522
107	2933	2498
108	2965	2475
109	2997	2452
110	3022	2423
111	3063	2407
112	3092	2380
113	3113	2348
114	3135	2317
115	3156	2285
116	3187	2261
117	3209	2230
118	3231	2199
119	3251	2167
120	3283	2143
121	3304	2112
122	3326	2082
123	3347	2051
124	3375	2025
125	3405	2000
126	3437	1976
127	3457	1945
128	3484	1917
129	3505	1887
130	3527	1858
131	3540	1823
132	3562	1794
133	3587	1766
134	3609	1737
135	3621	1704
136	3646	1676
137	3668	1648
138	3690	1619
139	3719	1593
140	3751	1569
141	3782	1545
142	3803	1516
143	3830	1489
144	3846	1459
145	3878	1434
146	3890	1402
147	3927	1379
148	3954	1353
149	3975	1325
150	4005	1299
151	4027	1271
152	4050	1244
153	4071	1216
154	4102	1190
155	4134	1166
156	4163	1140
157	4195	1115
158	4226	1089
159	4258	1064
160	4288	1038
161	4322	1013
162	4344	986
163	4368	958
164	4401	933
165	4430	907
166	4460	881
167	4482	853
168	4510	827
169	4541	801
170	4563	773
171	4587	746
172	4608	719
173	4636	692
174	4658	665
175	4683	638
176	4705	611
177	4731	584
178	4753	557
179	4776	530
180	4812	505
181	4834	478
182	4856	451
183	4892	425
184	4917	398
185	4941	371
186	4964	345
187	4987	318
188	5011	291
189	5035	265
190	5060	238
191	5082	211
192	5104	185
193	5128	158
194	5161	132
195	5192	105
196	5226	79
197	5255	53
198	5287	26
199	5318	0
