iter	Passed	Remaining
0	51	10333
1	82	8215
2	119	7844
3	154	7578
4	188	7356
5	243	7876
6	273	7532
7	305	7339
8	351	7456
9	378	7194
10	410	7045
11	447	7008
12	477	6873
13	511	6794
14	543	6707
15	571	6568
16	600	6460
17	637	6443
18	668	6367
19	696	6264
20	725	6186
21	756	6118
22	785	6044
23	819	6008
24	846	5927
25	874	5854
26	904	5796
27	933	5732
28	961	5669
29	1002	5682
30	1030	5620
31	1062	5577
32	1102	5578
33	1132	5528
34	1163	5482
35	1192	5431
36	1219	5371
37	1250	5330
38	1278	5276
39	1309	5236
40	1342	5204
41	1369	5152
42	1405	5133
43	1438	5098
44	1484	5113
45	1513	5065
46	1543	5024
47	1580	5004
48	1609	4960
49	1644	4933
50	1675	4894
51	1721	4899
52	1752	4861
53	1783	4823
54	1812	4778
55	1846	4747
56	1873	4700
57	1909	4675
58	1937	4630
59	1965	4586
60	1994	4545
61	2023	4503
62	2050	4459
63	2079	4418
64	2108	4378
65	2146	4359
66	2176	4319
67	2211	4293
68	2242	4257
69	2290	4253
70	2323	4221
71	2353	4184
72	2385	4150
73	2432	4141
74	2468	4113
75	2512	4099
76	2544	4064
77	2575	4028
78	2603	3987
79	2639	3959
80	2669	3921
81	2698	3882
82	2734	3854
83	2763	3815
84	2798	3786
85	2828	3750
86	2856	3710
87	2884	3671
88	2913	3633
89	2956	3613
90	2984	3574
91	3012	3536
92	3050	3509
93	3078	3471
94	3115	3442
95	3143	3405
96	3176	3372
97	3222	3353
98	3252	3318
99	3292	3292
100	3324	3258
101	3356	3224
102	3384	3187
103	3413	3151
104	3442	3114
105	3472	3079
106	3503	3045
107	3539	3015
108	3567	2978
109	3601	2946
110	3634	2913
111	3661	2877
112	3693	2843
113	3722	2807
114	3750	2772
115	3778	2735
116	3808	2702
117	3836	2666
118	3869	2633
119	3902	2601
120	3931	2566
121	3964	2534
122	3995	2501
123	4027	2468
124	4057	2434
125	4086	2399
126	4125	2371
127	4157	2338
128	4185	2303
129	4224	2274
130	4280	2254
131	4307	2219
132	4344	2188
133	4374	2154
134	4402	2119
135	4418	2079
136	4446	2044
137	4475	2010
138	4506	1977
139	4537	1944
140	4570	1912
141	4615	1885
142	4643	1851
143	4679	1819
144	4702	1783
145	4743	1754
146	4757	1715
147	4786	1681
148	4814	1647
149	4849	1616
150	4876	1582
151	4917	1552
152	4946	1519
153	4974	1485
154	5010	1454
155	5038	1421
156	5075	1390
157	5107	1357
158	5138	1325
159	5169	1292
160	5198	1259
161	5242	1229
162	5280	1198
163	5312	1166
164	5341	1133
165	5372	1100
166	5400	1067
167	5437	1035
168	5467	1002
169	5496	969
170	5524	936
171	5552	903
172	5594	873
173	5622	840
174	5656	808
175	5687	775
176	5718	743
177	5754	711
178	5781	678
179	5812	645
180	5845	613
181	5873	580
182	5911	549
183	5956	517
184	5983	485
185	6019	453
186	6047	420
187	6083	388
188	6112	355
189	6150	323
190	6182	291
191	6232	259
192	6262	227
193	6305	195
194	6333	162
195	6368	129
196	6400	97
197	6430	64
198	6459	32
199	6498	0
